,CustomerID,Recency,Frequency,Monetary,R,F,M
2438,15640.0,4,17,12433.34,4,4,4
561,13078.0,1,43,12432.28,4,4,4
2329,15498.0,0,35,12396.46,4,4,4
2698,16000.0,2,3,12393.7,4,2,4
277,12682.0,3,31,12288.22,4,4,4
169,12557.0,16,5,11990.96,4,3,4
3090,16525.0,2,29,11895.57,4,4,4
3671,17340.0,9,16,11891.18,4,4,4
1674,14606.0,1,128,11713.85,4,4,4
464,12939.0,64,8,11581.8,2,4,4
1675,14607.0,15,17,11341.1,4,4,4
1370,14194.0,4,32,11216.75,4,4,4
2052,15125.0,25,23,11117.05,3,4,4
50,12409.0,78,7,11056.93,2,4,4
1883,14895.0,7,24,11020.26,4,4,4
487,12971.0,3,89,10930.26,4,4,4
756,13340.0,45,7,10736.48,3,4,4
3854,17581.0,0,31,10736.11,4,4,4
740,13319.0,5,36,10664.34,4,4,4
1794,14769.0,2,10,10641.6,4,4,4
3537,17139.0,15,15,10585.57,4,4,4
587,13113.0,0,40,10510.0,4,4,4
1277,14062.0,9,12,10464.85,4,4,4
3279,16779.0,2,28,10454.05,4,4,4
3516,17107.0,32,7,10380.43,3,4,4
2420,15615.0,10,27,10360.04,4,4,4
2147,15251.0,9,15,10327.11,4,4,4
2836,16180.0,100,10,10217.48,2,4,4
3328,16843.0,42,17,10183.82,3,4,4
4061,17865.0,30,27,10158.54,3,4,4
3950,17706.0,4,22,10097.37,4,4,4
198,12590.0,190,3,9861.38,1,2,4
652,13199.0,3,39,9803.96,4,4,4
507,13001.0,4,15,9797.92,4,4,4
2013,15078.0,7,38,9623.35,4,4,4
836,13458.0,7,22,9537.92,4,4,4
1768,14733.0,9,15,9451.54,4,4,4
3089,16523.0,1,28,9295.67,4,4,4
298,12709.0,3,26,9294.1,4,4,4
1720,14667.0,10,27,9231.2,4,4,4
1495,14367.0,8,19,9167.82,4,4,4
328,12744.0,51,10,9120.39,2,4,4
178,12567.0,22,11,9114.94,3,4,4
4225,18092.0,2,12,9065.76,4,4,4
1206,13969.0,7,20,8986.69,4,4,4
86,12451.0,10,6,8933.52,4,4,4
859,13488.0,17,17,8910.61,3,4,4
2725,16033.0,5,27,8727.61,4,4,4
569,13090.0,8,18,8689.39,4,4,4
3609,17243.0,1,30,8628.55,4,4,4
3649,17306.0,10,21,8600.73,4,4,4
3449,17017.0,2,27,8574.11,4,4,4
3182,16656.0,22,21,8568.24,3,4,4
4260,18139.0,17,8,8393.22,3,4,4
3113,16558.0,0,24,8257.04,4,4,4
2227,15358.0,4,29,8234.8,4,4,4
278,12683.0,4,20,8221.09,4,4,4
1273,14056.0,1,29,8124.4,4,4,4
1911,14936.0,9,9,8117.42,4,4,4
3194,16672.0,2,23,8093.59,4,4,4
1123,13854.0,8,29,8025.02,4,4,4
4238,18109.0,1,31,7925.32,4,4,4
1919,14952.0,46,15,7912.79,3,4,4
1846,14849.0,21,28,7904.28,3,4,4
66,12428.0,25,12,7877.2,3,4,4
1813,14796.0,1,27,7839.51,4,4,4
73,12435.0,79,2,7829.89,2,2,4
2178,15290.0,4,21,7803.77,4,4,4
959,13629.0,23,11,7792.36,3,4,4
572,13093.0,267,13,7741.47,1,4,4
1615,14527.0,2,86,7711.38,4,4,4
4023,17811.0,4,51,7677.71,4,4,4
1984,15044.0,19,22,7629.38,3,4,4
2102,15194.0,3,22,7521.17,4,4,4
4285,18172.0,14,25,7490.17,4,4,4
698,13263.0,1,35,7454.07,4,4,4
3716,17396.0,39,8,7330.8,3,4,4
4330,18229.0,11,20,7276.9,4,4,4
521,13018.0,16,29,7272.75,4,4,4
191,12583.0,2,18,7187.34,4,4,4
3248,16745.0,86,18,7170.7,2,4,4
103,12474.0,17,30,7116.47,3,4,4
491,12980.0,155,12,7092.06,1,4,4
3237,16729.0,36,26,7076.28,3,4,4
745,13324.0,32,12,7072.8,3,4,4
3346,16873.0,4,10,7066.31,4,4,4
1219,13985.0,4,16,7024.53,4,4,4
1926,14961.0,10,12,7006.58,4,4,4
344,12766.0,3,7,6989.63,4,4,4
365,12798.0,10,3,6977.04,4,2,4
2307,15465.0,19,24,6945.02,3,4,4
525,13027.0,113,6,6912.0,2,4,4
498,12989.0,3,19,6854.51,4,4,4
2843,16187.0,31,17,6841.24,3,4,4
3222,16713.0,18,21,6840.23,3,4,4
3732,17416.0,29,9,6838.34,3,4,4
295,12705.0,15,14,6814.24,4,4,4
1966,15023.0,3,12,6763.16,4,4,4
4197,18055.0,7,11,6752.14,4,4,4
3096,16532.0,17,3,6748.8,3,2,4
385,12830.0,37,7,6748.4,3,4,4
2408,15601.0,11,17,6745.36,4,4,4
926,13576.0,10,20,6703.3,4,4,4
3249,16746.0,4,19,6694.31,4,4,4
2961,16353.0,3,23,6675.71,4,4,4
3383,16923.0,12,26,6666.83,4,4,4
2146,15249.0,31,15,6657.36,3,4,4
3178,16652.0,53,11,6654.26,2,4,4
2838,16182.0,72,4,6617.65,2,3,4
3669,17338.0,17,10,6612.18,3,4,4
2318,15482.0,15,16,6568.72,4,4,4
105,12476.0,1,20,6546.58,4,4,4
2066,15144.0,8,18,6530.04,4,4,4
3306,16814.0,14,22,6500.6,4,4,4
2480,15694.0,0,15,6423.6,4,4,4
69,12431.0,35,18,6416.39,3,4,4
1136,13871.0,22,14,6389.8,3,4,4
231,12626.0,23,13,6388.35,3,4,4
579,13102.0,1,27,6336.29,4,4,4
4324,18223.0,1,27,6315.23,4,4,4
2794,16126.0,29,4,6287.77,3,3,4
1016,13709.0,3,17,6249.11,4,4,4
12,12359.0,7,6,6245.53,4,4,4
101,12472.0,30,13,6229.48,3,4,4
988,13668.0,2,29,6216.07,4,4,4
10,12357.0,33,1,6207.67,3,1,4
3656,17315.0,0,43,6204.46,4,4,4
1953,15005.0,15,35,6180.49,4,4,4
1274,14057.0,23,18,6147.4,3,4,4
1276,14060.0,4,20,6135.38,4,4,4
2657,15939.0,89,16,6102.26,2,4,4
3799,17509.0,57,11,6100.74,2,4,4
669,13225.0,3,8,6083.04,4,4,4
1304,14101.0,73,6,5976.79,2,4,4
238,12637.0,67,10,5953.25,2,4,4
2245,15382.0,14,8,5927.86,4,4,4
575,13097.0,32,14,5893.32,3,4,4
809,13418.0,11,23,5845.44,4,4,4
1913,14944.0,29,14,5842.95,3,4,4
657,13209.0,30,11,5820.16,3,4,4
1599,14505.0,17,11,5818.7,3,4,4
737,13316.0,37,5,5815.49,3,3,4
1528,14415.0,1,18,5811.56,4,4,4
1769,14735.0,3,34,5807.69,4,4,4
2120,15218.0,10,11,5756.89,4,4,4
3934,17686.0,7,7,5739.46,4,4,4
638,13178.0,26,11,5725.47,3,4,4
308,12720.0,2,29,5713.28,4,4,4
543,13050.0,9,28,5684.61,4,4,4
1311,14110.0,3,13,5669.65,4,4,4
3108,16553.0,163,14,5664.57,1,4,4
843,13468.0,1,41,5656.75,4,4,4
1266,14049.0,16,6,5639.15,4,4,4
510,13004.0,11,22,5613.43,4,4,4
899,13534.0,2,43,5613.08,4,4,4
4245,18118.0,10,31,5595.77,4,4,4
3474,17049.0,2,11,5594.78,4,4,4
110,12481.0,22,11,5590.86,3,4,4
3986,17757.0,1,31,5585.49,4,4,4
393,12839.0,2,16,5583.62,4,4,4
3268,16767.0,30,11,5580.6,3,4,4
2331,15502.0,15,23,5541.46,4,4,4
3958,17716.0,22,12,5505.79,3,4,4
3428,16985.0,17,11,5461.62,3,4,4
2563,15805.0,23,20,5452.17,3,4,4
3147,16609.0,15,9,5450.96,4,4,4
2901,16265.0,9,11,5423.15,4,4,4
115,12490.0,5,10,5417.93,4,4,4
3960,17719.0,37,18,5367.8,3,4,4
4326,18225.0,3,17,5361.02,4,4,4
2821,16161.0,1,26,5352.97,4,4,4
703,13269.0,1,17,5315.92,4,4,4
2923,16303.0,25,4,5305.83,3,3,4
2072,15150.0,17,11,5303.97,3,4,4
3968,17730.0,3,15,5288.83,4,4,4
4048,17850.0,302,35,5288.63,1,4,4
2897,16258.0,45,5,5203.51,3,3,4
4327,18226.0,38,14,5192.1,3,4,4
2505,15727.0,16,7,5178.96,4,4,4
4054,17858.0,5,12,5155.66,4,4,4
15,12362.0,3,13,5154.58,4,4,4
3214,16701.0,8,18,5150.27,4,4,4
1054,13756.0,2,15,5145.12,4,4,4
2635,15903.0,9,8,5126.34,4,4,4
3483,17061.0,73,12,5116.13,2,4,4
1733,14688.0,7,27,5107.38,4,4,4
4305,18198.0,4,21,5083.06,4,4,4
1986,15046.0,9,16,5064.01,4,4,4
70,12432.0,42,5,5059.32,3,3,4
607,13139.0,16,8,5055.79,4,4,4
3869,17602.0,2,8,5050.77,4,4,4
2498,15719.0,32,14,5043.96,3,4,4
3213,16700.0,8,17,5040.0,4,4,4
942,13599.0,1,33,5030.6,4,4,4
2186,15301.0,50,14,5028.12,3,4,4
3739,17426.0,4,7,5022.26,4,4,4
79,12444.0,21,5,5005.46,3,3,4
1782,14755.0,9,12,4965.38,4,4,4
2368,15547.0,7,14,4954.84,4,4,4
1466,14329.0,8,14,4928.74,4,4,4
2847,16191.0,2,25,4913.32,4,4,4
1188,13941.0,21,7,4912.41,3,4,4
1750,14709.0,15,14,4911.14,4,4,4
75,12437.0,1,19,4896.66,4,4,4
3533,17133.0,15,7,4892.24,4,4,4
282,12688.0,113,1,4873.81,2,1,4
290,12700.0,7,6,4867.99,4,4,4
262,12664.0,8,10,4863.88,4,4,4
2548,15786.0,43,5,4834.2,3,3,4
1443,14292.0,7,14,4819.33,4,4,4
3692,17365.0,12,8,4801.56,4,4,4
2513,15738.0,18,19,4788.77,3,4,4
516,13013.0,1,15,4786.99,4,4,4
2375,15555.0,12,20,4758.2,4,4,4
3935,17690.0,30,16,4748.45,3,4,4
3906,17652.0,25,18,4737.13,3,4,4
477,12955.0,1,14,4734.26,4,4,4
3231,16722.0,17,16,4711.21,3,4,4
1645,14562.0,3,22,4709.22,4,4,4
302,12714.0,9,5,4708.86,4,3,4
1329,14135.0,1,15,4690.31,4,4,4
2073,15152.0,9,16,4684.24,4,4,4
1348,14159.0,19,14,4678.3,3,4,4
2098,15187.0,1,18,4670.08,4,4,4
1368,14191.0,1,14,4660.01,4,4,4
1363,14180.0,10,31,4640.77,4,4,4
4022,17809.0,16,15,4627.62,4,4,4
1367,14189.0,2,24,4604.31,4,4,4
3390,16931.0,5,21,4604.22,4,4,4
2179,15291.0,25,20,4596.51,3,4,4
1437,14286.0,23,5,4595.81,3,3,4
1510,14390.0,10,13,4592.47,4,4,4
1233,14004.0,43,7,4582.64,3,4,4
3488,17068.0,12,22,4531.34,4,4,4
3876,17613.0,22,17,4509.37,3,4,4
112,12484.0,32,8,4495.27,3,4,4
145,12524.0,9,8,4485.72,4,4,4
232,12627.0,10,7,4478.53,4,4,4
1974,15032.0,256,5,4464.1,1,3,4
3691,17364.0,0,12,4455.73,4,4,4
1293,14085.0,2,19,4435.79,4,4,4
2023,15093.0,18,9,4410.14,3,4,4
701,13267.0,2,27,4404.44,4,4,4
4146,17975.0,15,14,4393.61,4,4,4
3427,16984.0,78,5,4392.42,2,3,4
2669,15955.0,24,16,4389.81,3,4,4
3162,16626.0,0,20,4379.65,4,4,4
333,12752.0,81,1,4366.78,2,1,4
3399,16945.0,21,19,4345.5,3,4,4
2617,15874.0,63,9,4330.67,2,4,4
1241,14016.0,154,5,4328.46,1,3,4
4347,18251.0,87,1,4314.72,2,1,4
1,12347.0,2,7,4310.0,4,4,4
4117,17937.0,8,7,4301.22,4,4,4
874,13505.0,67,8,4282.88,2,4,4
1976,15034.0,15,11,4277.66,4,4,4
1534,14422.0,0,6,4263.64,4,4,4
300,12712.0,22,17,4241.63,3,4,4
1816,14800.0,47,16,4236.34,3,4,4
338,12757.0,15,19,4227.7,4,4,4
1614,14525.0,8,13,4221.37,4,4,4
122,12500.0,23,13,4206.27,3,4,4
4103,17920.0,4,17,4204.1,4,4,4
3734,17419.0,11,14,4200.97,4,4,4
2677,15971.0,17,12,4199.85,3,4,4
329,12747.0,2,11,4196.01,4,4,4
4189,18041.0,11,22,4161.14,4,4,4
3104,16549.0,10,10,4154.64,4,4,4
909,13555.0,73,4,4149.28,2,3,4
472,12949.0,30,10,4143.02,3,4,4
788,13384.0,30,9,4122.28,3,4,4
2385,15570.0,7,13,4109.97,4,4,4
154,12536.0,7,5,4106.82,4,3,4
1221,13988.0,19,9,4098.8,3,4,4
1621,14534.0,2,25,4075.35,4,4,4
3135,16592.0,4,19,4073.28,4,4,4
84,12449.0,22,4,4067.29,3,3,4
179,12569.0,2,35,4064.99,4,4,4
1298,14092.0,7,17,4063.1,4,4,4
2998,16401.0,1,20,4061.24,4,4,4
1516,14401.0,4,14,4039.98,4,4,4
3192,16670.0,16,17,4022.46,4,4,4
1095,13815.0,22,5,4014.91,3,3,4
3844,17567.0,7,10,4012.56,4,4,4
27,12378.0,129,1,4008.62,2,1,4
2842,16186.0,22,13,3991.94,3,4,4
3440,17001.0,0,11,3989.57,4,4,4
1633,14547.0,3,9,3986.74,4,4,4
413,12867.0,26,10,3986.22,3,4,4
256,12656.0,17,8,3982.72,3,4,4
479,12957.0,4,12,3979.04,4,4,4
2270,15416.0,64,5,3974.37,2,3,4
2355,15529.0,22,12,3967.78,3,4,4
3996,17769.0,12,12,3960.63,4,4,4
640,13183.0,7,9,3957.78,4,4,4
1432,14277.0,15,4,3957.0,4,3,4
3874,17611.0,3,19,3947.87,4,4,4
315,12727.0,10,9,3947.7,4,4,4
3702,17377.0,23,21,3925.92,3,4,4
1537,14426.0,18,16,3918.9,3,4,4
3862,17593.0,3,6,3911.56,4,4,4
1082,13802.0,138,6,3906.27,2,4,4
1772,14739.0,2,8,3899.1,4,4,4
3905,17651.0,11,14,3886.67,4,4,4
395,12841.0,4,26,3876.4,4,4,4
1442,14291.0,1,12,3873.3,4,4,4
350,12779.0,21,12,3868.7,3,4,4
331,12749.0,3,8,3868.2,4,4,4
595,13124.0,89,3,3866.33,2,2,4
1229,13999.0,10,15,3865.26,4,4,4
4211,18073.0,114,13,3864.44,2,4,4
2103,15195.0,2,1,3861.0,4,1,4
156,12539.0,22,5,3852.5,3,3,4
2562,15804.0,0,19,3848.55,4,4,4
2942,16327.0,14,6,3844.22,4,4,4
261,12662.0,0,12,3817.08,4,4,4
3506,17091.0,2,10,3802.81,4,4,4
2613,15867.0,5,16,3797.79,4,4,4
3181,16655.0,17,6,3794.52,3,4,4
822,13435.0,5,9,3794.49,4,4,4
2184,15299.0,67,11,3787.09,2,4,4
174,12562.0,8,7,3781.74,4,4,4
2183,15298.0,2,14,3774.1,4,4,4
2825,16168.0,10,28,3770.6,4,4,4
4223,18087.0,98,4,3770.12,2,3,4
3560,17173.0,5,9,3755.65,4,4,4
891,13523.0,33,6,3755.38,3,4,4
3368,16904.0,4,16,3754.27,4,4,4
67,12429.0,9,4,3750.4,4,3,4
3606,17238.0,2,17,3744.65,4,4,4
266,12668.0,7,6,3743.18,4,4,4
2809,16145.0,8,18,3741.98,4,4,4
1434,14282.0,3,15,3729.34,4,4,4
2566,15808.0,306,5,3724.77,1,3,4
124,12502.0,95,5,3723.87,2,3,4
556,13069.0,0,27,3717.82,4,4,4
700,13266.0,11,19,3717.67,4,4,4
1494,14364.0,108,8,3717.35,2,4,4
2882,16240.0,8,5,3693.81,4,3,4
204,12597.0,19,5,3683.13,3,3,4
248,12647.0,22,13,3669.92,3,4,4
2893,16253.0,31,3,3665.62,3,2,4
4028,17819.0,71,8,3661.07,2,4,4
167,12553.0,8,14,3652.25,4,4,4
4216,18079.0,45,4,3651.97,3,3,4
2596,15845.0,17,10,3650.87,3,4,4
3221,16712.0,9,11,3645.43,4,4,4
3028,16440.0,7,5,3640.67,4,3,4
2242,15379.0,169,8,3631.89,1,4,4
786,13381.0,21,7,3626.81,3,4,4
3121,16570.0,8,15,3622.95,4,4,4
747,13327.0,38,9,3617.57,3,4,4
2181,15296.0,44,10,3610.31,3,4,4
605,13137.0,10,9,3605.08,4,4,4
2884,16242.0,8,8,3598.26,4,4,4
565,13082.0,126,10,3595.48,2,4,4
1327,14132.0,2,12,3580.13,4,4,4
56,12417.0,3,12,3578.8,4,4,4
3579,17203.0,35,6,3563.85,3,4,4
2320,15484.0,1,5,3563.11,4,3,4
815,13426.0,0,12,3550.7,4,4,4
20,12370.0,51,4,3545.69,2,3,4
1597,14503.0,3,6,3543.26,4,4,4
2366,15544.0,8,11,3542.51,4,4,4
1259,14040.0,40,15,3542.19,3,4,4
3784,17491.0,1,11,3541.92,4,4,4
3817,17528.0,1,11,3540.1,4,4,4
908,13552.0,66,16,3539.53,2,4,4
752,13334.0,82,3,3536.82,2,2,4
3551,17160.0,31,6,3518.03,3,4,4
1196,13953.0,7,7,3515.68,4,4,4
2797,16131.0,51,6,3506.54,2,4,4
2334,15505.0,52,7,3497.14,2,4,4
888,13520.0,58,8,3487.75,2,4,4
3043,16458.0,2,18,3482.74,4,4,4
1892,14907.0,3,10,3478.85,4,4,4
1512,14395.0,2,12,3471.91,4,4,4
3598,17230.0,264,11,3466.67,1,4,4
828,13448.0,16,10,3465.67,4,4,4
3850,17576.0,8,22,3457.78,4,4,4
3987,17758.0,19,8,3456.7,3,4,4
2265,15410.0,84,8,3450.84,2,4,4
2714,16019.0,1,10,3450.24,4,4,4
900,13536.0,1,7,3448.29,4,4,4
2055,15129.0,50,11,3447.4,3,4,4
2040,15113.0,9,4,3439.41,4,3,4
2394,15581.0,120,14,3429.97,2,4,4
2679,15974.0,39,8,3429.55,3,4,4
1392,14221.0,42,10,3427.85,3,4,4
2967,16360.0,4,8,3411.69,4,4,4
1226,13993.0,32,12,3409.66,3,4,4
2685,15981.0,24,8,3408.48,3,4,4
824,13437.0,14,7,3408.06,4,4,4
3919,17669.0,42,7,3406.72,3,4,4
1114,13842.0,58,9,3385.62,2,4,4
651,13198.0,10,8,3384.09,4,4,4
2130,15228.0,66,5,3376.96,2,3,4
3965,17725.0,16,14,3371.13,4,4,4
517,13014.0,2,16,3365.43,4,4,4
2706,16011.0,8,16,3362.71,4,4,4
615,13148.0,29,17,3348.48,3,4,4
518,13015.0,53,5,3346.28,2,3,4
244,12643.0,128,6,3344.64,2,4,4
2491,15708.0,40,11,3329.72,3,4,4
2468,15676.0,9,5,3324.09,4,3,4
202,12594.0,37,11,3320.22,3,4,4
3309,16818.0,10,13,3317.97,4,4,4
1397,14227.0,26,15,3315.71,3,4,4
3111,16556.0,66,7,3313.79,2,4,4
782,13373.0,60,3,3312.25,2,2,4
1842,14841.0,53,6,3295.76,2,4,4
3567,17183.0,7,8,3286.91,4,4,4
109,12480.0,28,4,3281.63,3,3,4
47,12406.0,22,3,3280.75,3,2,4
3226,16717.0,9,9,3278.36,4,4,4
3963,17723.0,127,6,3276.4,2,4,4
1745,14702.0,1,18,3250.64,4,4,4
1195,13952.0,211,3,3246.09,1,2,4
2534,15764.0,81,10,3245.47,2,4,4
3475,17050.0,96,6,3228.84,2,4,4
2425,15622.0,3,16,3224.53,4,4,4
1143,13880.0,21,13,3219.77,3,4,4
218,12613.0,31,6,3218.98,3,4,4
224,12619.0,16,13,3214.81,4,4,4
2290,15443.0,1,8,3212.16,4,4,4
2777,16107.0,17,7,3204.16,3,4,4
3590,17220.0,24,14,3198.25,3,4,4
1133,13868.0,7,2,3192.54,4,2,4
3933,17685.0,16,7,3191.53,4,4,4
1055,13758.0,11,7,3190.55,4,4,4
1844,14844.0,63,4,3189.81,2,3,4
1508,14388.0,8,10,3172.04,4,4,4
3323,16837.0,31,12,3167.73,3,4,4
702,13268.0,17,15,3167.64,3,4,4
2731,16041.0,30,3,3166.4,3,2,4
4059,17863.0,59,6,3160.0,2,4,4
91,12456.0,44,4,3153.89,3,3,4
1336,14145.0,46,5,3148.2,3,3,4
2432,15632.0,15,10,3147.31,4,4,4
2002,15065.0,37,6,3135.98,3,4,4
3599,17231.0,12,14,3127.82,4,4,4
999,13685.0,2,7,3119.44,4,4,4
1358,14175.0,51,7,3108.06,2,4,4
3922,17672.0,43,4,3106.62,3,3,4
1134,13869.0,123,4,3104.95,2,3,4
1042,13742.0,16,14,3102.42,4,4,4
603,13135.0,196,1,3096.0,1,1,4
3481,17059.0,29,5,3095.04,3,3,4
1403,14235.0,10,6,3093.86,4,4,4
1302,14099.0,16,12,3092.97,4,4,4
2324,15491.0,95,7,3090.85,2,4,4
1419,14257.0,51,6,3087.27,2,4,4
2941,16326.0,5,15,3085.96,4,4,4
773,13362.0,3,5,3085.49,4,3,4
3369,16905.0,5,8,3085.48,4,4,4
2697,15998.0,36,6,3084.17,3,4,4
540,13047.0,31,18,3079.1,3,4,4
442,12910.0,23,8,3075.04,3,4,4
1646,14565.0,95,6,3073.77,2,4,4
4361,18272.0,2,7,3064.78,4,4,4
2868,16218.0,29,8,3054.87,3,4,4
3396,16940.0,52,3,3049.88,2,2,4
1559,14456.0,5,14,3047.63,4,4,4
3204,16686.0,47,9,3043.48,3,4,4
3146,16607.0,17,16,3038.67,3,4,4
3218,16709.0,84,5,3029.87,2,3,4
4017,17799.0,22,11,3026.08,3,4,4
2817,16156.0,8,13,3024.62,4,4,4
961,13631.0,99,12,3021.77,2,4,4
4227,18094.0,81,7,3017.3,2,4,4
3197,16678.0,2,17,3013.83,4,4,4
205,12598.0,9,9,3002.68,4,4,4
2607,15861.0,12,9,3000.36,4,4,4
39,12395.0,15,15,2998.28,4,4,4
1454,14307.0,88,6,2995.72,2,4,4
268,12670.0,10,6,2986.15,4,4,4
446,12916.0,138,5,2982.35,2,3,4
2475,15687.0,8,11,2981.5,4,4,4
2601,15854.0,4,12,2974.65,4,4,4
3071,16497.0,49,6,2965.69,3,4,4
2342,15514.0,12,13,2963.19,4,4,4
3912,17659.0,3,14,2954.75,4,4,4
1696,14639.0,52,8,2952.34,2,4,4
3501,17084.0,35,2,2949.75,3,2,4
1337,14146.0,8,6,2949.57,4,4,4
335,12754.0,235,5,2949.12,1,3,4
2992,16393.0,2,20,2941.05,4,4,4
3753,17444.0,147,3,2940.04,1,2,4
1863,14868.0,3,9,2939.64,4,4,4
1252,14032.0,2,18,2929.84,4,4,4
1618,14530.0,25,6,2925.91,3,4,4
3802,17512.0,28,11,2920.04,3,4,4
439,12906.0,11,5,2919.81,4,3,4
831,13451.0,26,6,2916.45,3,4,4
1630,14543.0,3,21,2916.17,4,4,4
76,12438.0,14,2,2906.85,4,2,4
4106,17924.0,1,13,2894.33,4,4,4
4264,18144.0,7,12,2888.75,4,4,4
2465,15673.0,88,4,2881.02,2,3,4
1417,14251.0,1,5,2879.7,4,3,4
3166,16633.0,17,7,2878.15,3,4,4
1234,14005.0,9,5,2874.72,4,3,4
1162,13901.0,72,5,2867.2,2,3,4
2430,15628.0,4,10,2865.64,4,4,4
280,12685.0,28,6,2863.08,3,4,4
4265,18145.0,12,4,2861.55,4,3,4
1448,14299.0,8,18,2855.35,4,4,4
102,12473.0,29,9,2848.23,3,4,4
49,12408.0,32,9,2842.57,3,4,4
1622,14535.0,59,4,2841.09,2,3,4
1752,14711.0,10,12,2838.2,4,4,4
1849,14852.0,58,6,2836.69,2,4,4
3865,17596.0,23,7,2827.93,3,4,4
635,13174.0,16,3,2817.03,4,2,4
2687,15984.0,2,11,2816.97,4,4,4
9,12356.0,22,3,2811.43,3,2,4
2758,16081.0,56,5,2806.9,2,3,4
1651,14572.0,3,10,2803.69,4,4,4
339,12758.0,116,2,2791.59,2,2,4
3977,17739.0,11,8,2786.05,4,4,4
3387,16928.0,80,19,2781.5,2,4,4
34,12388.0,15,6,2780.66,4,4,4
1313,14112.0,22,12,2774.17,3,4,4
1063,13769.0,2,16,2771.87,4,4,4
3899,17644.0,1,17,2768.98,4,4,4
2226,15356.0,31,10,2766.5,3,4,4
1036,13735.0,24,8,2766.18,3,4,4
674,13230.0,4,15,2763.41,4,4,4
3344,16871.0,22,7,2761.49,3,4,4
2041,15114.0,30,10,2760.56,3,4,4
3265,16764.0,3,18,2758.25,4,4,4
1687,14626.0,8,7,2757.07,4,4,4
2694,15993.0,8,10,2756.82,4,4,4
2931,16316.0,64,12,2755.56,2,4,4
186,12578.0,21,4,2753.36,3,3,4
1135,13870.0,2,10,2751.25,4,4,4
1851,14854.0,78,8,2749.89,2,4,4
3794,17504.0,206,10,2745.28,1,4,4
1889,14903.0,21,10,2744.48,3,4,4
3585,17213.0,40,11,2741.08,3,4,4
1321,14125.0,10,3,2740.43,4,2,4
1319,14121.0,3,6,2740.3,4,4,4
2699,16003.0,29,5,2735.37,3,3,4
29,12380.0,21,5,2720.56,3,3,4
4331,18230.0,9,10,2716.6,4,4,4
394,12840.0,143,6,2714.27,2,4,4
716,13285.0,23,4,2709.12,3,3,4
978,13654.0,43,6,2707.33,3,4,4
